season,team_name,winning_percentage,conference ,field_goal_percentage
2017,Houston,0.772,western,0.461
2017,Brooklyn,0.322,eastern,0.441
2017,Cleveland,0.607,eastern,0.478
2017,Toronto,0.719,eastern,0.471
2017,Dallas,0.31,western,0.445
2017,Boston,0.678,eastern,0.45
2017,Chicago,0.351,eastern,0.435
2017,Miami,0.517,eastern,0.455
2017,Denver,0.552,western,0.471
2017,Atlanta,0.305,eastern,0.446
2017,Golden State,0.759,western,0.504
2017,Oklahoma City,0.559,western,0.452
2017,New Orleans,0.544,western,0.482
2017,Orlando,0.316,eastern,0.452
2017,Utah,0.517,western,0.462
2017,Philadelphia,0.545,eastern,0.471
2017,Detroit,0.491,eastern,0.45
2017,LA Clippers,0.536,western,0.471
2017,LA Lakers,0.404,western,0.462
2017,Phoenix,0.305,western,0.44
2017,Portland,0.552,western,0.453
2017,Memphis,0.321,western,0.442
2017,Charlotte,0.421,eastern,0.449
2017,Washington,0.579,eastern,0.468
2017,Indiana,0.569,eastern,0.472
2017,San Antonio,0.593,western,0.459
2017,Milwaukee,0.561,eastern,0.48
2017,Sacramento,0.316,western,0.45
2017,Minnesota,0.59,western,0.476
2017,New York,0.39,eastern,0.462
2016,Houston,0.671,western,0.462
2016,Cleveland,0.622,eastern,0.47
2016,Boston,0.646,eastern,0.454
2016,Brooklyn,0.244,eastern,0.444
2016,Golden State,0.817,western,0.495
2016,Dallas,0.402,western,0.44
2016,Philadelphia,0.341,eastern,0.442
2016,Denver,0.488,western,0.469
2016,Charlotte,0.439,eastern,0.442
2016,Portland,0.5,western,0.459
2016,LA Clippers,0.622,western,0.475
2016,Miami,0.5,eastern,0.455
2016,New Orleans,0.415,western,0.45
2016,Memphis,0.524,western,0.435
2016,Orlando,0.354,eastern,0.44
2016,Atlanta,0.524,eastern,0.451
2016,Utah,0.622,western,0.466
2016,Oklahoma City,0.573,western,0.452
2016,LA Lakers,0.317,western,0.45
2016,Washington,0.598,eastern,0.475
2016,New York,0.378,eastern,0.447
2016,Toronto,0.622,eastern,0.464
2016,Sacramento,0.39,western,0.461
2016,Milwaukee,0.512,eastern,0.474
2016,San Antonio,0.744,western,0.469
2016,Detroit,0.451,eastern,0.449
2016,Indiana,0.512,eastern,0.465
2016,Phoenix,0.293,western,0.45
2016,Chicago,0.5,eastern,0.444
2016,Minnesota,0.378,western,0.467
2015,Golden State,0.89,western,0.487
2015,Houston,0.5,western,0.452
2015,Cleveland,0.695,eastern,0.46
2015,Charlotte,0.585,eastern,0.439
2015,Dallas,0.512,western,0.444
2015,Portland,0.537,western,0.45
2015,Atlanta,0.585,eastern,0.458
2015,Philadelphia,0.122,eastern,0.431
2015,LA Clippers,0.646,western,0.465
2015,Detroit,0.537,eastern,0.439
2015,Boston,0.585,western,0.439
2015,Phoenix,0.28,western,0.435
2015,LA Lakers,0.207,western,0.414
2015,Washington,0.5,eastern,0.46
2015,Utah,0.488,western,0.449
2015,New Orleans,0.366,western,0.448
2015,Oklahoma City,0.671,western,0.476
2015,Denver,0.402,western,0.442
2015,Toronto,0.683,eastern,0.451
2015,Indiana,0.549,eastern,0.45
2015,Sacramento,0.402,western,0.464
2015,Orlando,0.427,eastern,0.455
2015,New York,0.39,eastern,0.439
2015,Chicago,0.512,eastern,0.441
2015,Memphis,0.512,western,0.44
2015,San Antonio,0.817,western,0.484
2015,Brooklyn,0.256,eastern,0.453
2015,Miami,0.585,eastern,0.47
2015,Minnesota,0.354,western,0.464
2015,Milwaukee,0.402,eastern,0.467
2014,Houston,0.683,western,0.444
2014,Cleveland,0.646,eastern,0.458
2014,Portland,0.622,western,0.45
2014,Golden State,0.817,western,0.478
2014,LA Clippers,0.683,western,0.473
2014,Philadelphia,0.22,eastern,0.408
2014,Atlanta,0.732,eastern,0.466
2014,Dallas,0.61,western,0.463
2014,Toronto,0.598,eastern,0.455
2014,Phoenix,0.476,western,0.452
2014,Detroit,0.39,eastern,0.432
2014,Denver,0.366,western,0.433
2014,Boston,0.488,eastern,0.443
2014,Oklahoma City,0.549,western,0.447
2014,San Antonio,0.671,western,0.468
2014,Chicago,0.61,eastern,0.442
2014,Utah,0.463,western,0.447
2014,Indiana,0.463,eastern,0.439
2014,Miami,0.451,eastern,0.456
2014,Brooklyn,0.463,eastern,0.451
2014,New York,0.207,eastern,0.428
2014,Orlando,0.305,eastern,0.453
2014,New Orleans,0.549,western,0.457
2014,Charlotte,0.402,eastern,0.42
2014,LA Lakers,0.256,western,0.435
2014,Milwaukee,0.5,eastern,0.459
2014,Washington,0.561,eastern,0.462
2014,Sacramento,0.354,western,0.455
2014,Memphis,0.671,western,0.458
2014,Minnesota,0.195,western,0.438
